Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
HSBC Bank USA NA,50505,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Keybanc Capital Markets,51639,United States,"European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Sunflower Bank,56663,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
Credit Agricole,119938,France,"European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
National Westminster Bank Plc,11320,United Kingdom,"Asian Bank, Canadian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
BBVA Compass,57073,United States,"European Bank, US Bank",2021,1
BancAlliance Inc,121871,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of Ireland Group,12675,Ireland,"Asset Manager, European Bank, US Bank",2021,1
Bank of Ireland Ltd,12676,Ireland,"Asset Manager, European Bank, US Bank",2021,1
BankUnited NA,128659,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Hancock Whitney Bank,142472,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of Oklahoma NA,20993,United States,"European Bank, US Bank",2021,1
Fifth Third Bank,29604,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Midwest Bank,110446,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
AgFirst Farm Credit Bank,47956,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
KeyBank,51838,United States,"European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
KKR,140814,United States,"BDC, Diversified Financial Services Company, Multinational Investment Bank & Financial Services, Private Equity",2021,1
Synovus Bank,103840,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Antares Capital,124168,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
First Horizon Bank,73447,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
South State Bank,116737,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
World Bank,17914,United States,Government Sponsored Lender,2021,1
Inter-American Investment Corp,53539,United States,"Asian Bank, European Bank, Japanese Bank",2021,1
CIBC,105527,United States,"Asian Bank, Canadian Bank",2021,1
Santander Bank NA,111453,United States,"Asian Bank, Business Corporation, European Bank, Japanese Bank, US Bank",2021,1
AB Private Credit Investors Corp,159144,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Other",2021,1
AllianceBernstein LP,160731,United States,"Asset Manager, Hedge Fund, Multinational Investment Bank & Financial Services",2021,1
Morgan Stanley Bank,92232,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Other",2021,1
Wintrust Financial Corp,42405,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Siemens AG,5847,Germany,"Asian Bank, Business Corporation, Canadian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Umpqua Bank,60043,United States,US Bank,2021,1
International Bank for Economic Cooperation,61474,United States,"Development Finance Institution, European Bank",2021,1
Western Alliance Bancorp,104660,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Zions Bancorporation,120947,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Vectra Banking Corp,66153,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Zions Bank,72806,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
HomeTrust Bank,150365,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Ameris Bancorp,49355,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First National Bank of Pennsylvania,51959,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First National Bank,52133,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
United Bank,52641,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
SMBC,50974,United States,"Asian Bank, Canadian Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Vectra Bank of Colorado NA,78944,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Woodforest National Bank,110740,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
NatWest Bank NA,75551,United States,"Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, Other, US Bank",2021,1
First Citizens Bank Limited,121757,Trinidad and Tobago,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Lucid Agency Services Ltd,142066,United Kingdom,"Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, Other, US Bank",2021,1
Numis Corp,145410,United Kingdom,"Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, Other, US Bank",2021,1
Atlantic Union Bank,146835,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank OZK,164651,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
CB&S Bank,164698,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Citizens Bank & Trust,34737,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
New York Community Bank,55298,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Investec Bank Plc,13554,United Kingdom,"Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, Other, US Bank",2021,1
IDB Bank,56903,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
