rssdid,name,address,city,state,zipcode,year,quarter
1412619.0,1ST CONSTITUTION BANK,2650 ROUTE 130,CRANBURY,NJ,08512,2008.0,4.0
1412712.0,"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",5827 HOLLISTER AVENUE,GOLETA,CA,93117,2008.0,1.0
1412712.0,"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",5827 HOLLISTER AVENUE,GOLETA,CA,93117,2008.0,2.0
1412712.0,"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",5827 HOLLISTER AVENUE,GOLETA,CA,93117,2008.0,3.0
1412712.0,"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",5827 HOLLISTER AVENUE,GOLETA,CA,93117,2008.0,4.0
1414819.0,HELM BANK,1312 SOUTH MIAMI AVE.,MIAMI,FL,33130,2008.0,1.0
1414819.0,HELM BANK,1312 SOUTH MIAMI AVE.,MIAMI,FL,33130,2008.0,2.0
1414819.0,HELM BANK,1312 SOUTH MIAMI AVE.,MIAMI,FL,33130,2008.0,3.0
1414819.0,HELM BANK,1312 SOUTH MIAMI AVE.,MIAMI,FL,33130,2008.0,4.0
1416327.0,MARATHON NATIONAL BANK OF NEW YORK,28-22 STEINWAY STREET,ASTORIA,NY,11103,2008.0,1.0
1416327.0,MARATHON NATIONAL BANK OF NEW YORK,28-22 STEINWAY STREET,ASTORIA,NY,11103,2008.0,2.0
1416327.0,MARATHON NATIONAL BANK OF NEW YORK,28-22 STEINWAY STREET,ASTORIA,NY,11103,2008.0,3.0
1416327.0,MARATHON NATIONAL BANK OF NEW YORK,28-22 STEINWAY STREET,ASTORIA,NY,11103,2008.0,4.0
1418255.0,TUSTIN COMMUNITY BANK,"13891 NEWPORT AVENUE, SUITE 100",TUSTIN,CA,92780,2008.0,1.0
1418255.0,TUSTIN COMMUNITY BANK,"13891 NEWPORT AVENUE, SUITE 100",TUSTIN,CA,92780,2008.0,2.0
1418255.0,TUSTIN COMMUNITY BANK,"13891 NEWPORT AVENUE, SUITE 100",TUSTIN,CA,92780,2008.0,3.0
1418255.0,TUSTIN COMMUNITY BANK,"13891 NEWPORT AVENUE, SUITE 100",TUSTIN,CA,92780,2008.0,4.0
1421040.0,BRYAN BANK & TRUST,30 FORD AVE,RICHMOND HILL,GA,31324,2008.0,1.0
1421040.0,BRYAN BANK & TRUST,30 FORD AVE,RICHMOND HILL,GA,31324,2008.0,2.0
1421040.0,BRYAN BANK & TRUST,30 FORD AVE,RICHMOND HILL,GA,31324,2008.0,3.0
1421040.0,BRYAN BANK & TRUST,9971 FORD AVE,RICHMOND HILL,GA,31324,2008.0,4.0
1421095.0,CENTENNIAL BANK,"18837 BROOKHURST STREET, SUITE 100",FOUNTAIN VALLEY,CA,92708,2008.0,1.0
1421095.0,CENTENNIAL BANK,"18837 BROOKHURST STREET, SUITE 100",FOUNTAIN VALLEY,CA,92708,2008.0,2.0
1421095.0,CENTENNIAL BANK,"18837 BROOKHURST STREET, SUITE 100",FOUNTAIN VALLEY,CA,92708,2008.0,3.0
1421095.0,CENTENNIAL BANK,"18837 BROOKHURST STREET, SUITE 100",FOUNTAIN VALLEY,CA,92708,2008.0,4.0
1421161.0,BANK OF BLUE VALLEY,11935 RILEY,OVERLAND PARK,KS,66213,2008.0,1.0
1421161.0,BANK OF BLUE VALLEY,11935 RILEY,OVERLAND PARK,KS,66213,2008.0,2.0
1421161.0,BANK OF BLUE VALLEY,11935 RILEY,OVERLAND PARK,KS,66213,2008.0,3.0
1421161.0,BANK OF BLUE VALLEY,11935 RILEY,OVERLAND PARK,KS,66213,2008.0,4.0
1422980.0,"NORTHERN TRUST INVESTMENTS, NATIONAL ASSOCIATION",50 SOUTH LASALLE STREET M-4,CHICAGO,IL,60675,2008.0,1.0
1422980.0,"NORTHERN TRUST INVESTMENTS, NATIONAL ASSOCIATION",50 SOUTH LASALLE STREET M-4,CHICAGO,IL,60675,2008.0,2.0
1422980.0,"NORTHERN TRUST INVESTMENTS, NATIONAL ASSOCIATION",50 SOUTH LASALLE STREET M-4,CHICAGO,IL,60675,2008.0,3.0
1422980.0,"NORTHERN TRUST INVESTMENTS, NATIONAL ASSOCIATION",50 SOUTH LASALLE STREET M-4,CHICAGO,IL,60675,2008.0,4.0
1427770.0,FIRST STATE BANK IN TUSCOLA,441 GRAHAM STREET,TUSCOLA,TX,79562,2008.0,1.0
1427770.0,FIRST STATE BANK IN TUSCOLA,441 GRAHAM STREET,TUSCOLA,TX,79562,2008.0,2.0
1427770.0,FIRST STATE BANK IN TUSCOLA,441 GRAHAM STREET,TUSCOLA,TX,79562,2008.0,3.0
1427770.0,FIRST STATE BANK IN TUSCOLA,441 GRAHAM STREET,TUSCOLA,TX,79562,2008.0,4.0
1429028.0,BALLINGER NATIONAL BANK,900 HUTCHINGS AVENUE,BALLINGER,TX,76821,2008.0,1.0
1429028.0,BALLINGER NATIONAL BANK,900 HUTCHINGS AVENUE,BALLINGER,TX,76821,2008.0,2.0
1429028.0,BALLINGER NATIONAL BANK,900 HUTCHINGS AVENUE,BALLINGER,TX,76821,2008.0,3.0
1429028.0,BALLINGER NATIONAL BANK,900 HUTCHINGS AVENUE,BALLINGER,TX,76821,2008.0,4.0
1434826.0,BANKANNAPOLIS,1000 BESTGATE ROAD,ANNAPOLIS,MD,21401,2008.0,1.0
1434826.0,BANKANNAPOLIS,1000 BESTGATE ROAD,ANNAPOLIS,MD,21401,2008.0,2.0
1434826.0,BANKANNAPOLIS,1000 BESTGATE ROAD,ANNAPOLIS,MD,21401,2008.0,3.0
1434826.0,BANKANNAPOLIS,1000 BESTGATE ROAD,ANNAPOLIS,MD,21401,2008.0,4.0
1435092.0,TEXAS NATIONAL BANK,400 E BROADWAY,SWEETWATER,TX,79520,2008.0,1.0
1435092.0,TEXAS NATIONAL BANK,400 E BROADWAY,SWEETWATER,TX,79520,2008.0,2.0
1435092.0,TEXAS NATIONAL BANK,400 E BROADWAY,SWEETWATER,TX,79520,2008.0,3.0
1435092.0,TEXAS NATIONAL BANK,400 E BROADWAY,SWEETWATER,TX,79556,2008.0,4.0
1435412.0,UNITED BANK & TRUST COMPANY,129 EAST ELM STREET,ROCKMART,GA,30153,2008.0,1.0
1435412.0,UNITED BANK & TRUST COMPANY,129 EAST ELM STREET,ROCKMART,GA,30153,2008.0,2.0
1436071.0,DRUMMOND COMMUNITY BANK,1627 NORTH YOUNG BOULEVARD,CHIEFLAND,FL,32626,2008.0,1.0
1436071.0,DRUMMOND COMMUNITY BANK,1627 NORTH YOUNG BOULEVARD,CHIEFLAND,FL,32626,2008.0,2.0
