rssdid,name,address,city,state,zipcode,year,quarter
979759,"KARNES COUNTY NATIONAL BANK OF KARNES CITY, THE",301 E. CALVERT STREET,KARNES CITY,TX,781183211,2021,2
979759,"KARNES COUNTY NATIONAL BANK OF KARNES CITY, THE",301 E. CALVERT STREET,KARNES CITY,TX,781183211,2021,3
979759,"KARNES COUNTY NATIONAL BANK OF KARNES CITY, THE",301 E. CALVERT STREET,KARNES CITY,TX,781183211,2021,4
980438,FIRST STATE BANK OF FORREST,133 EAST KRACK STREET,FORREST,IL,61741,2021,1
980438,FIRST STATE BANK OF FORREST,133 EAST KRACK STREET,FORREST,IL,61741,2021,2
980438,FIRST STATE BANK OF FORREST,133 EAST KRACK STREET,FORREST,IL,61741,2021,3
980438,FIRST STATE BANK OF FORREST,133 EAST KRACK STREET,FORREST,IL,61741,2021,4
980531,JD BANK,507 NORTH MAIN STREET,JENNINGS,LA,70546,2021,1
980531,JD BANK,507 NORTH MAIN STREET,JENNINGS,LA,70546,2021,2
980531,JD BANK,507 NORTH MAIN STREET,JENNINGS,LA,70546,2021,3
980531,JD BANK,507 NORTH MAIN STREET,JENNINGS,LA,70546,2021,4
980661,FIRST HAWAIIAN BANK,999 BISHOP STREET,HONOLULU,HI,96813,2021,1
980661,FIRST HAWAIIAN BANK,999 BISHOP STREET,HONOLULU,HI,96813,2021,2
980661,FIRST HAWAIIAN BANK,999 BISHOP STREET,HONOLULU,HI,96813,2021,3
980661,FIRST HAWAIIAN BANK,999 BISHOP STREET,HONOLULU,HI,96813,2021,4
980773,EATON COMMUNITY BANK,236 SOUTH COCHRAN,CHARLOTTE,MI,48813,2021,1
980773,EATON COMMUNITY BANK,236 SOUTH COCHRAN,CHARLOTTE,MI,48813,2021,2
980773,EATON COMMUNITY BANK,236 SOUTH COCHRAN,CHARLOTTE,MI,48813,2021,3
980773,EATON COMMUNITY BANK,236 SOUTH COCHRAN,CHARLOTTE,MI,48813,2021,4
980951,WOODLANDS NATIONAL BANK,122 EAST MAIN STREET,HINCKLEY,MN,55037,2021,1
980951,WOODLANDS NATIONAL BANK,122 EAST MAIN STREET,HINCKLEY,MN,55037,2021,2
980951,WOODLANDS NATIONAL BANK,122 EAST MAIN STREET,HINCKLEY,MN,55037,2021,3
980951,WOODLANDS NATIONAL BANK,122 EAST MAIN STREET,HINCKLEY,MN,55037,2021,4
980960,BENCHMARK BANK,"5700 LEGACY DR, STE 10",PLANO,TX,750243505,2021,1
980960,BENCHMARK BANK,"5700 LEGACY DR, STE 10",PLANO,TX,750243505,2021,2
980960,BENCHMARK BANK,"5700 LEGACY DR, STE 10",PLANO,TX,750243505,2021,3
980960,BENCHMARK BANK,"5700 LEGACY DR, STE 10",PLANO,TX,750243505,2021,4
