Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter,original,Match1_RSSD,Match1_Name,Match1_Status,Match1_Asset,Match1_Address,Match1_City,Match1_State,Match1_Zip,Match2_RSSD,Match2_Name,Match2_Status,Match2_Asset,Match2_Address,Match2_City,Match2_State,Match2_Zip
Regions Bank,49928,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Regions Bank,233031,Regions Bank,Active,158598000.0,1900 5th Ave N,Birmingham,AL,35203.0,1217533,Regions Bank,Inactive,3521230.0,"111 Green Street, S.E.",Gainesville,GA,30501.0
Regions Bank,49928,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Regions Bank,233031,Regions Bank,Active,158598000.0,1900 5th Ave N,Birmingham,AL,35203.0,1217533,Regions Bank,Inactive,3521230.0,"111 Green Street, S.E.",Gainesville,GA,30501.0
Huntington National Bank,17130,United States,US Bank,2021,1,Huntington National Bank,861564,Huntington National Bank,Inactive,89002.0,16531 Bolsa Chica Street,Huntington Beach,CA,92649.0,774431,Huntington National Bank West Virginia,Inactive,2175487.0,One Commerce Square,Charleston,WV,25301.0
Huntington National Bank,17130,United States,US Bank,2021,1,Huntington National Bank,861564,Huntington National Bank,Inactive,89002.0,16531 Bolsa Chica Street,Huntington Beach,CA,92649.0,774431,Huntington National Bank West Virginia,Inactive,2175487.0,One Commerce Square,Charleston,WV,25301.0
Goldman Sachs Bank USA,49902,United States,"Asian Bank, Multinational Investment Bank & Financial Services",2021,1,Goldman Sachs Bank USA,2182786,Goldman Sachs Bank USA,Active,644020000.0,200 West St,New York,NY,10282.0,3278305,Goldman Sachs Bank USA,Inactive,21630286.0,"295 Chipeta Way, 4th Floor",Salt Lake City,UT,84108.0
MUFG Union Bank NA,116485,United States,"Development Finance Institution, Diversified Financial Services Company, Japanese Bank",2021,1,,,,,,,,,,,,,,,,,
BOK Financial Corp,27214,United States,US Bank,2021,1,,,,,,,,,,,,,,,,,
Trustmark National Bank,51912,United States,US Bank,2021,1,Trustmark National Bank,,,,,,,,,,,,,,,,
Hickory Point Bank & Trust,89638,United States,US Bank,2021,1,Hickory Point Bank & Trust,550635,Hickory Point Bank and Trust,Active,721087.0,225 N Water St,Decatur,IL,62523.0,,,,,,,,
Signature Bank,49973,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Signature Bank,3437483,Signature Bank,Active,1960495.0,9450 Bryn Mawr Ave Ste 300,Rosemont,IL,60018.0,694904,"Flagstar Bank, National Association",Active,91593478.0,102 Duffy Ave,Hicksville,NY,11801.0
Great Southern Bank,54505,United States,US Bank,2021,1,Great Southern Bank,572374,Great Southern Bank,Active,5740564.0,14309 State Highway 13,Reeds Spring,MO,65737.0,101738,Great Southern Bank,Active,330371.0,218 22nd Ave S,Meridian,MS,39301.0
Eastern Bank,52557,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Eastern Bank,128904,Eastern Bank,Active,25448467.0,125 High St,Boston,MA,2110.0,643340,Eastern Michigan Bank,Active,560064.0,65 N Howard Ave,Croswell,MI,48422.0
People's United Bank,53373,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,People's United Bank,613307,"People's United Bank, National Association",Inactive,62773810.0,850 Main St,Bridgeport,CT,6604.0,,,,,,,,
